borough;numfloors;LAT;LONG;coordinates 
QN;7.0;40.7672519;-73.930336;40.7672519, -73.930336
QN;7.0;40.7535365;-73.930455;40.7535365, -73.930455
BK;7.0;40.6881208;-73.930736;40.6881208, -73.930736
MN;7.0;40.8596834;-73.930767;40.8596834, -73.930767
BX;23.0;40.8202561;-73.931462;40.8202561, -73.931462
QN;18.0;40.7451055;-73.931893;40.7451055, -73.931893
BK;7.0;40.6622192;-73.932165;40.6622192, -73.932165
QN;13.0;40.775652;-73.932248;40.775652, -73.932248
QN;7.0;40.765104;-73.932331;40.765104, -73.932331
QN;7.0;40.7718619;-73.932909;40.7718619, -73.932909
QN;7.0;40.7758474;-73.933118;40.7758474, -73.933118
QN;8.0;40.7750516;-73.933534;40.7750516, -73.933534
BK;11.0;40.6595742;-73.933804;40.6595742, -73.933804
MN;8.0;40.7969055;-73.934072;40.7969055, -73.934072
BK;7.0;40.6991816;-73.934385;40.6991816, -73.934385
MN;12.0;40.8024967;-73.934471;40.8024967, -73.934471
QN;7.0;40.7563469;-73.934834;40.7563469, -73.934834
BK;15.0;40.6943815;-73.935147;40.6943815, -73.935147
QN;7.0;40.7567232;-73.935274;40.7567232, -73.935274
BK;8.0;40.7019133;-73.935522;40.7019133, -73.935522
MN;8.0;40.807471;-73.935911;40.807471, -73.935911
BK;8.0;40.7016913;-73.936056;40.7016913, -73.936056
QN;10.Mai;40.757388;-73.936248;40.757388, -73.936248
MN;27.0;40.8229267;-73.936261;40.8229267, -73.936261
QN;10.0;40.7552226;-73.936694;40.7552226, -73.936694
MN;8.0;40.8097278;-73.937007;40.8097278, -73.937007
MN;14.0;40.8113227;-73.937569;40.8113227, -73.937569
MN;13.0;40.7923622;-73.937641;40.7923622, -73.937641
MN;7.0;40.8273849;-73.937666;40.8273849, -73.937666
MN;16.0;40.8171032;-73.937672;40.8171032, -73.937672
MN;8.0;40.799916;-73.938219;40.799916, -73.938219
MN;10.0;40.8143506;-73.938379;40.8143506, -73.938379
BK;9.0;40.713034;-73.938433;40.713034, -73.938433
MN;7.0;40.8176308;-73.938824;40.8176308, -73.938824
BK;20.0;40.7027497;-73.939117;40.7027497, -73.939117
QN;58.0;40.749592;-73.939713;40.749592, -73.939713
QN;10.0;40.7518373;-73.939812;40.7518373, -73.939812
QN;26.0;40.7463509;-73.940463;40.7463509, -73.940463
BK;11.0;40.6974997;-73.940503;40.6974997, -73.940503
MN;16.0;40.8119584;-73.940556;40.8119584, -73.940556
MN;8.0;40.7921882;-73.940682;40.7921882, -73.940682
QN;12.0;40.7472789;-73.941137;40.7472789, -73.941137
MN;8.0;40.8181123;-73.941143;40.8181123, -73.941143
MN;23.0;40.8066534;-73.941713;40.8066534, -73.941713
QN;8.0;40.7496672;-73.941799;40.7496672, -73.941799
MN;8.0;40.7901055;-73.941937;40.7901055, -73.941937
QN;7.0;40.7590626;-73.941946;40.7590626, -73.941946
QN;11.0;40.7565182;-73.942024;40.7565182, -73.942024
MN;10.0;40.823391;-73.942262;40.823391, -73.942262
BK;8.0;40.6717465;-73.942487;40.6717465, -73.942487
QN;24.0;40.7568836;-73.942612;40.7568836, -73.942612
BK;7.0;40.7177764;-73.942707;40.7177764, -73.942707
QN;10.0;40.7574574;-73.942922;40.7574574, -73.942922
BK;7.0;40.7203264;-73.942961;40.7203264, -73.942961
MN;7.0;40.8099561;-73.943361;40.8099561, -73.943361
BK;7.0;40.6827508;-73.943451;40.6827508, -73.943451
MN;9.0;40.7996058;-73.943489;40.7996058, -73.943489
MN;16.0;40.7773433;-73.943526;40.7773433, -73.943526
MN;8.0;40.8278655;-73.943577;40.8278655, -73.943577
BK;20.0;40.6306906;-73.943614;40.6306906, -73.943614
BK;8.0;40.7024501;-73.943676;40.7024501, -73.943676
BK;7.0;40.7132645;-73.943858;40.7132645, -73.943858
BK;7.0;40.6623574;-73.944027;40.6623574, -73.944027
MN;8.0;40.8335584;-73.944266;40.8335584, -73.944266
MN;7.0;40.820779;-73.944349;40.820779, -73.944349
MN;7.0;40.828489;-73.944404;40.828489, -73.944404
BK;8.0;40.7110253;-73.944823;40.7110253, -73.944823
BK;11.0;40.6321186;-73.945162;40.6321186, -73.945162
BK;22.0;40.7061125;-73.945552;40.7061125, -73.945552
MN;37.0;40.7788484;-73.945572;40.7788484, -73.945572
QN;7.0;40.748080;-73.945792;40.748080, -73.945792
MN;11.0;40.7789995;-73.945886;40.7789995, -73.945886
MN;15.0;40.7802073;-73.946033;40.7802073, -73.946033
MN;8.0;40.7933463;-73.946091;40.7933463, -73.946091
MN;8.0;40.7740152;-73.946103;40.7740152, -73.946103
BK;9.0;40.6145168;-73.946239;40.6145168, -73.946239
BK;7.0;40.6916891;-73.946386;40.6916891, -73.946386
BK;11.0;40.6770789;-73.946715;40.6770789, -73.946715
QN;8.0;40.7477044;-73.946727;40.7477044, -73.946727
BK;7.0;40.6725775;-73.946751;40.6725775, -73.946751
